Epoch [1/400], Loss-Train: 0.2086, Accuracy-Train: 0.9105, Loss-Test: 0.2047, Accuracy-Test: 0.9288
Epoch [2/400], Loss-Train: 0.2145, Accuracy-Train: 0.9068, Loss-Test: 0.2130, Accuracy-Test: 0.9110
Epoch [3/400], Loss-Train: 0.2105, Accuracy-Train: 0.9116, Loss-Test: 0.2112, Accuracy-Test: 0.9243
Epoch [4/400], Loss-Train: 0.2034, Accuracy-Train: 0.9131, Loss-Test: 0.2120, Accuracy-Test: 0.9110
Epoch [5/400], Loss-Train: 0.2025, Accuracy-Train: 0.9164, Loss-Test: 0.2115, Accuracy-Test: 0.9258
Epoch [6/400], Loss-Train: 0.2023, Accuracy-Train: 0.9186, Loss-Test: 0.2067, Accuracy-Test: 0.9243
Epoch [7/400], Loss-Train: 0.2051, Accuracy-Train: 0.9153, Loss-Test: 0.2133, Accuracy-Test: 0.9199
Epoch [8/400], Loss-Train: 0.2026, Accuracy-Train: 0.9127, Loss-Test: 0.2114, Accuracy-Test: 0.9110
Epoch [9/400], Loss-Train: 0.2229, Accuracy-Train: 0.9082, Loss-Test: 0.2315, Accuracy-Test: 0.8961
Epoch [10/400], Loss-Train: 0.2303, Accuracy-Train: 0.9004, Loss-Test: 0.2074, Accuracy-Test: 0.9110
Epoch [11/400], Loss-Train: 0.2110, Accuracy-Train: 0.9105, Loss-Test: 0.2163, Accuracy-Test: 0.9125
Epoch [12/400], Loss-Train: 0.2019, Accuracy-Train: 0.9172, Loss-Test: 0.2180, Accuracy-Test: 0.9169
Epoch [13/400], Loss-Train: 0.2048, Accuracy-Train: 0.9142, Loss-Test: 0.2087, Accuracy-Test: 0.9139
Epoch [14/400], Loss-Train: 0.1998, Accuracy-Train: 0.9160, Loss-Test: 0.2017, Accuracy-Test: 0.9288
Epoch [15/400], Loss-Train: 0.2033, Accuracy-Train: 0.9153, Loss-Test: 0.2096, Accuracy-Test: 0.9110
Epoch [16/400], Loss-Train: 0.2018, Accuracy-Train: 0.9108, Loss-Test: 0.2007, Accuracy-Test: 0.9243
Epoch [17/400], Loss-Train: 0.2041, Accuracy-Train: 0.9127, Loss-Test: 0.2022, Accuracy-Test: 0.9273
Epoch [18/400], Loss-Train: 0.2008, Accuracy-Train: 0.9157, Loss-Test: 0.2098, Accuracy-Test: 0.9273
Epoch [19/400], Loss-Train: 0.2007, Accuracy-Train: 0.9149, Loss-Test: 0.2089, Accuracy-Test: 0.9110
Epoch [20/400], Loss-Train: 0.2109, Accuracy-Train: 0.9149, Loss-Test: 0.2046, Accuracy-Test: 0.9288
Epoch [21/400], Loss-Train: 0.2030, Accuracy-Train: 0.9134, Loss-Test: 0.2109, Accuracy-Test: 0.9154
Epoch [22/400], Loss-Train: 0.2023, Accuracy-Train: 0.9153, Loss-Test: 0.2128, Accuracy-Test: 0.9214
Epoch [23/400], Loss-Train: 0.2094, Accuracy-Train: 0.9142, Loss-Test: 0.2035, Accuracy-Test: 0.9184
Epoch [24/400], Loss-Train: 0.2168, Accuracy-Train: 0.9116, Loss-Test: 0.2212, Accuracy-Test: 0.9110
Epoch [25/400], Loss-Train: 0.2098, Accuracy-Train: 0.9120, Loss-Test: 0.2165, Accuracy-Test: 0.9095
Epoch [26/400], Loss-Train: 0.2037, Accuracy-Train: 0.9134, Loss-Test: 0.2115, Accuracy-Test: 0.9228
Epoch [27/400], Loss-Train: 0.2012, Accuracy-Train: 0.9134, Loss-Test: 0.2026, Accuracy-Test: 0.9214
Epoch [28/400], Loss-Train: 0.2033, Accuracy-Train: 0.9120, Loss-Test: 0.2030, Accuracy-Test: 0.9288
Epoch [29/400], Loss-Train: 0.2033, Accuracy-Train: 0.9168, Loss-Test: 0.2078, Accuracy-Test: 0.9273
Epoch [30/400], Loss-Train: 0.1960, Accuracy-Train: 0.9153, Loss-Test: 0.2013, Accuracy-Test: 0.9214
Epoch [31/400], Loss-Train: 0.1995, Accuracy-Train: 0.9160, Loss-Test: 0.2064, Accuracy-Test: 0.9169
Epoch [32/400], Loss-Train: 0.1976, Accuracy-Train: 0.9175, Loss-Test: 0.2048, Accuracy-Test: 0.9199
Epoch [33/400], Loss-Train: 0.2039, Accuracy-Train: 0.9157, Loss-Test: 0.2067, Accuracy-Test: 0.9303
Epoch [34/400], Loss-Train: 0.2032, Accuracy-Train: 0.9142, Loss-Test: 0.2105, Accuracy-Test: 0.9214
