Epoch [50/450], Loss-Train: 0.1743, Accuracy-Train: 0.9287, Loss-Test: 0.1942, Accuracy-Test: 0.9199
Epoch [51/450], Loss-Train: 0.1697, Accuracy-Train: 0.9242, Loss-Test: 0.1863, Accuracy-Test: 0.9243
Epoch [52/450], Loss-Train: 0.1734, Accuracy-Train: 0.9231, Loss-Test: 0.1769, Accuracy-Test: 0.9347
Epoch [53/450], Loss-Train: 0.1685, Accuracy-Train: 0.9261, Loss-Test: 0.1832, Accuracy-Test: 0.9273
Epoch [54/450], Loss-Train: 0.1662, Accuracy-Train: 0.9276, Loss-Test: 0.1825, Accuracy-Test: 0.9318
Epoch [55/450], Loss-Train: 0.1666, Accuracy-Train: 0.9309, Loss-Test: 0.1788, Accuracy-Test: 0.9303
Epoch [56/450], Loss-Train: 0.1635, Accuracy-Train: 0.9313, Loss-Test: 0.1748, Accuracy-Test: 0.9273
Epoch [57/450], Loss-Train: 0.1684, Accuracy-Train: 0.9290, Loss-Test: 0.1763, Accuracy-Test: 0.9273
Epoch [58/450], Loss-Train: 0.1703, Accuracy-Train: 0.9283, Loss-Test: 0.1814, Accuracy-Test: 0.9303
Epoch [59/450], Loss-Train: 0.1677, Accuracy-Train: 0.9290, Loss-Test: 0.2043, Accuracy-Test: 0.9184
Epoch [60/450], Loss-Train: 0.1790, Accuracy-Train: 0.9261, Loss-Test: 0.1857, Accuracy-Test: 0.9228
Epoch [61/450], Loss-Train: 0.1778, Accuracy-Train: 0.9205, Loss-Test: 0.1933, Accuracy-Test: 0.9332
Epoch [62/450], Loss-Train: 0.1698, Accuracy-Train: 0.9272, Loss-Test: 0.1789, Accuracy-Test: 0.9258
Epoch [63/450], Loss-Train: 0.1757, Accuracy-Train: 0.9268, Loss-Test: 0.1738, Accuracy-Test: 0.9258
Epoch [64/450], Loss-Train: 0.1626, Accuracy-Train: 0.9324, Loss-Test: 0.1746, Accuracy-Test: 0.9347
Epoch [65/450], Loss-Train: 0.1688, Accuracy-Train: 0.9261, Loss-Test: 0.2196, Accuracy-Test: 0.9080
Epoch [66/450], Loss-Train: 0.1849, Accuracy-Train: 0.9264, Loss-Test: 0.1767, Accuracy-Test: 0.9258
Epoch [67/450], Loss-Train: 0.1739, Accuracy-Train: 0.9216, Loss-Test: 0.1897, Accuracy-Test: 0.9214
Epoch [68/450], Loss-Train: 0.1716, Accuracy-Train: 0.9294, Loss-Test: 0.1941, Accuracy-Test: 0.9258
Epoch [69/450], Loss-Train: 0.1651, Accuracy-Train: 0.9320, Loss-Test: 0.1940, Accuracy-Test: 0.9243
Epoch [70/450], Loss-Train: 0.1697, Accuracy-Train: 0.9313, Loss-Test: 0.1981, Accuracy-Test: 0.9199
Epoch [71/450], Loss-Train: 0.1845, Accuracy-Train: 0.9224, Loss-Test: 0.1792, Accuracy-Test: 0.9243
Epoch [72/450], Loss-Train: 0.1714, Accuracy-Train: 0.9224, Loss-Test: 0.1861, Accuracy-Test: 0.9288
Epoch [73/450], Loss-Train: 0.1821, Accuracy-Train: 0.9257, Loss-Test: 0.2098, Accuracy-Test: 0.9199
Epoch [74/450], Loss-Train: 0.1786, Accuracy-Train: 0.9220, Loss-Test: 0.1770, Accuracy-Test: 0.9243
Epoch [75/450], Loss-Train: 0.1801, Accuracy-Train: 0.9276, Loss-Test: 0.1858, Accuracy-Test: 0.9273
Epoch [76/450], Loss-Train: 0.1834, Accuracy-Train: 0.9216, Loss-Test: 0.1993, Accuracy-Test: 0.9214
Epoch [77/450], Loss-Train: 0.1857, Accuracy-Train: 0.9190, Loss-Test: 0.1903, Accuracy-Test: 0.9273
Epoch [78/450], Loss-Train: 0.1766, Accuracy-Train: 0.9246, Loss-Test: 0.1820, Accuracy-Test: 0.9273
Epoch [79/450], Loss-Train: 0.1814, Accuracy-Train: 0.9257, Loss-Test: 0.1760, Accuracy-Test: 0.9318
Epoch [80/450], Loss-Train: 0.1728, Accuracy-Train: 0.9298, Loss-Test: 0.1866, Accuracy-Test: 0.9273
Epoch [81/450], Loss-Train: 0.1669, Accuracy-Train: 0.9331, Loss-Test: 0.1799, Accuracy-Test: 0.9318
Epoch [82/450], Loss-Train: 0.1658, Accuracy-Train: 0.9279, Loss-Test: 0.1840, Accuracy-Test: 0.9273
Epoch [83/450], Loss-Train: 0.1827, Accuracy-Train: 0.9242, Loss-Test: 0.1832, Accuracy-Test: 0.9332
Epoch [84/450], Loss-Train: 0.1665, Accuracy-Train: 0.9290, Loss-Test: 0.1809, Accuracy-Test: 0.9303
Epoch [85/450], Loss-Train: 0.1681, Accuracy-Train: 0.9305, Loss-Test: 0.1778, Accuracy-Test: 0.9258
Epoch [86/450], Loss-Train: 0.1654, Accuracy-Train: 0.9309, Loss-Test: 0.1787, Accuracy-Test: 0.9273
Epoch [87/450], Loss-Train: 0.1674, Accuracy-Train: 0.9298, Loss-Test: 0.1912, Accuracy-Test: 0.9273
Epoch [88/450], Loss-Train: 0.1656, Accuracy-Train: 0.9354, Loss-Test: 0.1760, Accuracy-Test: 0.9303
Epoch [89/450], Loss-Train: 0.1633, Accuracy-Train: 0.9290, Loss-Test: 0.1732, Accuracy-Test: 0.9303
Epoch [90/450], Loss-Train: 0.1657, Accuracy-Train: 0.9294, Loss-Test: 0.1832, Accuracy-Test: 0.9258
Epoch [91/450], Loss-Train: 0.1600, Accuracy-Train: 0.9309, Loss-Test: 0.1773, Accuracy-Test: 0.9288
Epoch [92/450], Loss-Train: 0.1616, Accuracy-Train: 0.9346, Loss-Test: 0.1796, Accuracy-Test: 0.9318
