Epoch [50/500], Loss-Train: 1.0410, Accuracy-Train: 0.4666, Loss-Test: 2.4652, Accuracy-Test: 1.4354
Epoch [51/500], Loss-Train: 1.0412, Accuracy-Train: 0.4661, Loss-Test: 2.9013, Accuracy-Test: 0.9347
Epoch [52/500], Loss-Train: 1.0410, Accuracy-Train: 0.4665, Loss-Test: 2.4629, Accuracy-Test: 1.4353
Epoch [53/500], Loss-Train: 1.0432, Accuracy-Train: 0.4636, Loss-Test: 2.6265, Accuracy-Test: 0.9310
Epoch [54/500], Loss-Train: 1.0418, Accuracy-Train: 0.4659, Loss-Test: 2.4658, Accuracy-Test: 1.4344
Epoch [55/500], Loss-Train: 1.0413, Accuracy-Train: 0.4664, Loss-Test: 2.6251, Accuracy-Test: 0.9352
Epoch [56/500], Loss-Train: 1.0411, Accuracy-Train: 0.4664, Loss-Test: 2.6180, Accuracy-Test: 0.9352
Epoch [57/500], Loss-Train: 1.0413, Accuracy-Train: 0.4653, Loss-Test: 2.4667, Accuracy-Test: 1.4335
Epoch [58/500], Loss-Train: 1.0410, Accuracy-Train: 0.4666, Loss-Test: 2.6234, Accuracy-Test: 0.9355
Epoch [59/500], Loss-Train: 1.0412, Accuracy-Train: 0.4668, Loss-Test: 2.6189, Accuracy-Test: 0.9358
Epoch [60/500], Loss-Train: 1.0413, Accuracy-Train: 0.4660, Loss-Test: 2.4679, Accuracy-Test: 1.4345
Epoch [61/500], Loss-Train: 1.0418, Accuracy-Train: 0.4643, Loss-Test: 2.4636, Accuracy-Test: 1.4320
Epoch [62/500], Loss-Train: 1.0418, Accuracy-Train: 0.4654, Loss-Test: 2.4666, Accuracy-Test: 1.4337
Epoch [63/500], Loss-Train: 1.0414, Accuracy-Train: 0.4650, Loss-Test: 2.9032, Accuracy-Test: 0.9330
Epoch [64/500], Loss-Train: 1.0425, Accuracy-Train: 0.4652, Loss-Test: 2.4725, Accuracy-Test: 1.4333
Epoch [65/500], Loss-Train: 1.0430, Accuracy-Train: 0.4626, Loss-Test: 2.6522, Accuracy-Test: 0.9294
Epoch [66/500], Loss-Train: 1.0407, Accuracy-Train: 0.4668, Loss-Test: 2.6304, Accuracy-Test: 0.9358
Epoch [67/500], Loss-Train: 1.0417, Accuracy-Train: 0.4644, Loss-Test: 2.6216, Accuracy-Test: 0.9323
Epoch [68/500], Loss-Train: 1.0393, Accuracy-Train: 0.4656, Loss-Test: 2.4397, Accuracy-Test: 1.4340
Epoch [69/500], Loss-Train: 1.0343, Accuracy-Train: 0.4669, Loss-Test: 2.5851, Accuracy-Test: 0.9365
Epoch [70/500], Loss-Train: 1.0380, Accuracy-Train: 0.4659, Loss-Test: 2.4024, Accuracy-Test: 1.4344
Epoch [71/500], Loss-Train: 1.0457, Accuracy-Train: 0.4656, Loss-Test: 2.6478, Accuracy-Test: 0.9340
Epoch [72/500], Loss-Train: 1.0393, Accuracy-Train: 0.4642, Loss-Test: 2.9092, Accuracy-Test: 0.9328
Epoch [73/500], Loss-Train: 1.0304, Accuracy-Train: 0.4682, Loss-Test: 2.3777, Accuracy-Test: 1.4390
Epoch [74/500], Loss-Train: 0.9851, Accuracy-Train: 0.5655, Loss-Test: 2.2010, Accuracy-Test: 1.7279
Epoch [75/500], Loss-Train: 0.8606, Accuracy-Train: 0.7061, Loss-Test: 2.0056, Accuracy-Test: 1.8264
Epoch [76/500], Loss-Train: 0.9130, Accuracy-Train: 0.6285, Loss-Test: 3.0536, Accuracy-Test: 1.2142
Epoch [77/500], Loss-Train: 1.0357, Accuracy-Train: 0.5759, Loss-Test: 2.0919, Accuracy-Test: 1.7465
Epoch [78/500], Loss-Train: 0.7255, Accuracy-Train: 0.7541, Loss-Test: 1.6587, Accuracy-Test: 1.9940
Epoch [79/500], Loss-Train: 0.7093, Accuracy-Train: 0.7478, Loss-Test: 1.6090, Accuracy-Test: 2.0075
Epoch [80/500], Loss-Train: 0.6598, Accuracy-Train: 0.7702, Loss-Test: 1.4556, Accuracy-Test: 2.0471
Epoch [81/500], Loss-Train: 0.6127, Accuracy-Train: 0.7818, Loss-Test: 1.3194, Accuracy-Test: 2.0606
Epoch [82/500], Loss-Train: 0.5721, Accuracy-Train: 0.7850, Loss-Test: 1.2649, Accuracy-Test: 2.0725
Epoch [83/500], Loss-Train: 0.5219, Accuracy-Train: 0.7909, Loss-Test: 1.0956, Accuracy-Test: 2.0783
Epoch [84/500], Loss-Train: 0.4876, Accuracy-Train: 0.7933, Loss-Test: 1.0492, Accuracy-Test: 2.0867
Epoch [85/500], Loss-Train: 0.4521, Accuracy-Train: 0.7984, Loss-Test: 0.9217, Accuracy-Test: 2.0995
Epoch [86/500], Loss-Train: 0.4269, Accuracy-Train: 0.8082, Loss-Test: 0.8667, Accuracy-Test: 2.1205
Epoch [87/500], Loss-Train: 0.4079, Accuracy-Train: 0.8182, Loss-Test: 1.2854, Accuracy-Test: 1.6446
Epoch [88/500], Loss-Train: 0.3830, Accuracy-Train: 0.8350, Loss-Test: 0.9805, Accuracy-Test: 2.1769
Epoch [89/500], Loss-Train: 0.3702, Accuracy-Train: 0.8448, Loss-Test: 0.7533, Accuracy-Test: 2.1957
Epoch [90/500], Loss-Train: 0.3534, Accuracy-Train: 0.8552, Loss-Test: 1.1048, Accuracy-Test: 2.2136
Epoch [91/500], Loss-Train: 0.3401, Accuracy-Train: 0.8685, Loss-Test: 0.6868, Accuracy-Test: 2.2395
Epoch [92/500], Loss-Train: 0.3284, Accuracy-Train: 0.8742, Loss-Test: 0.6707, Accuracy-Test: 2.2465
Epoch [93/500], Loss-Train: 0.3218, Accuracy-Train: 0.8728, Loss-Test: 0.6629, Accuracy-Test: 2.2496
Epoch [94/500], Loss-Train: 0.3115, Accuracy-Train: 0.8783, Loss-Test: 0.9519, Accuracy-Test: 2.2579
Epoch [95/500], Loss-Train: 0.3015, Accuracy-Train: 0.8808, Loss-Test: 0.6085, Accuracy-Test: 2.2622
Epoch [96/500], Loss-Train: 0.2983, Accuracy-Train: 0.8801, Loss-Test: 0.6099, Accuracy-Test: 2.2547
Epoch [97/500], Loss-Train: 0.3428, Accuracy-Train: 0.8532, Loss-Test: 0.6759, Accuracy-Test: 2.2143
Epoch [98/500], Loss-Train: 0.3197, Accuracy-Train: 0.8636, Loss-Test: 0.6920, Accuracy-Test: 2.2044
Epoch [99/500], Loss-Train: 0.3455, Accuracy-Train: 0.8505, Loss-Test: 0.6937, Accuracy-Test: 2.2028
Epoch [100/500], Loss-Train: 0.3248, Accuracy-Train: 0.8620, Loss-Test: 0.6861, Accuracy-Test: 2.2294
Epoch [101/500], Loss-Train: 0.3079, Accuracy-Train: 0.8693, Loss-Test: 0.7402, Accuracy-Test: 2.2456
Epoch [102/500], Loss-Train: 0.2989, Accuracy-Train: 0.8735, Loss-Test: 0.5926, Accuracy-Test: 2.2533
Epoch [103/500], Loss-Train: 0.2907, Accuracy-Train: 0.8788, Loss-Test: 0.5891, Accuracy-Test: 2.2544
Epoch [104/500], Loss-Train: 0.2944, Accuracy-Train: 0.8770, Loss-Test: 0.7971, Accuracy-Test: 2.2516
Epoch [105/500], Loss-Train: 0.2909, Accuracy-Train: 0.8800, Loss-Test: 0.5826, Accuracy-Test: 2.2598
Epoch [106/500], Loss-Train: 0.2868, Accuracy-Train: 0.8815, Loss-Test: 1.7066, Accuracy-Test: 1.7661
Epoch [107/500], Loss-Train: 0.2796, Accuracy-Train: 0.8832, Loss-Test: 0.5595, Accuracy-Test: 2.2689
Epoch [108/500], Loss-Train: 0.2761, Accuracy-Train: 0.8866, Loss-Test: 0.5622, Accuracy-Test: 2.2749
Epoch [109/500], Loss-Train: 0.2751, Accuracy-Train: 0.8880, Loss-Test: 0.5506, Accuracy-Test: 2.2767
Epoch [110/500], Loss-Train: 0.2752, Accuracy-Train: 0.8860, Loss-Test: 0.5535, Accuracy-Test: 2.2740
Epoch [111/500], Loss-Train: 0.2716, Accuracy-Train: 0.8885, Loss-Test: 0.5586, Accuracy-Test: 2.2779
Epoch [112/500], Loss-Train: 0.2726, Accuracy-Train: 0.8869, Loss-Test: 0.5442, Accuracy-Test: 2.2757
Epoch [113/500], Loss-Train: 0.2684, Accuracy-Train: 0.8880, Loss-Test: 0.5390, Accuracy-Test: 2.2778
Epoch [114/500], Loss-Train: 0.2690, Accuracy-Train: 0.8887, Loss-Test: 0.7272, Accuracy-Test: 2.2791
Epoch [115/500], Loss-Train: 0.2672, Accuracy-Train: 0.8898, Loss-Test: 0.7114, Accuracy-Test: 2.2811
Epoch [116/500], Loss-Train: 0.2654, Accuracy-Train: 0.8896, Loss-Test: 0.5330, Accuracy-Test: 2.2802
Epoch [117/500], Loss-Train: 0.2670, Accuracy-Train: 0.8907, Loss-Test: 0.5451, Accuracy-Test: 2.2828
Epoch [118/500], Loss-Train: 0.2636, Accuracy-Train: 0.8908, Loss-Test: 0.5276, Accuracy-Test: 2.2834
Epoch [119/500], Loss-Train: 0.2676, Accuracy-Train: 0.8888, Loss-Test: 0.5761, Accuracy-Test: 2.2700
Epoch [120/500], Loss-Train: 0.2837, Accuracy-Train: 0.8793, Loss-Test: 0.6617, Accuracy-Test: 2.2664
Epoch [121/500], Loss-Train: 0.2675, Accuracy-Train: 0.8889, Loss-Test: 0.5411, Accuracy-Test: 2.2766
Epoch [122/500], Loss-Train: 0.2654, Accuracy-Train: 0.8905, Loss-Test: 0.5793, Accuracy-Test: 2.2819
Epoch [123/500], Loss-Train: 0.2763, Accuracy-Train: 0.8840, Loss-Test: 0.7053, Accuracy-Test: 2.2730
Epoch [124/500], Loss-Train: 0.2649, Accuracy-Train: 0.8911, Loss-Test: 0.6465, Accuracy-Test: 2.2804
Epoch [125/500], Loss-Train: 0.2650, Accuracy-Train: 0.8899, Loss-Test: 0.5314, Accuracy-Test: 2.2791
Epoch [126/500], Loss-Train: 0.2586, Accuracy-Train: 0.8938, Loss-Test: 0.5165, Accuracy-Test: 2.2883
Epoch [127/500], Loss-Train: 0.2572, Accuracy-Train: 0.8921, Loss-Test: 0.5277, Accuracy-Test: 2.2872
Epoch [128/500], Loss-Train: 0.2541, Accuracy-Train: 0.8946, Loss-Test: 0.5103, Accuracy-Test: 2.2906
Epoch [129/500], Loss-Train: 0.2535, Accuracy-Train: 0.8949, Loss-Test: 0.5105, Accuracy-Test: 2.2901
Epoch [130/500], Loss-Train: 0.2822, Accuracy-Train: 0.8811, Loss-Test: 1.0947, Accuracy-Test: 1.7683
Epoch [131/500], Loss-Train: 0.2715, Accuracy-Train: 0.8862, Loss-Test: 0.9592, Accuracy-Test: 1.7753
Epoch [132/500], Loss-Train: 0.2624, Accuracy-Train: 0.8904, Loss-Test: 0.5727, Accuracy-Test: 2.2831
Epoch [133/500], Loss-Train: 0.2566, Accuracy-Train: 0.8947, Loss-Test: 0.5398, Accuracy-Test: 2.2887
Epoch [134/500], Loss-Train: 0.2547, Accuracy-Train: 0.8939, Loss-Test: 0.5104, Accuracy-Test: 2.2895
Epoch [135/500], Loss-Train: 0.2509, Accuracy-Train: 0.8950, Loss-Test: 0.5404, Accuracy-Test: 2.2928
Epoch [136/500], Loss-Train: 0.2511, Accuracy-Train: 0.8956, Loss-Test: 0.6442, Accuracy-Test: 2.2943
Epoch [137/500], Loss-Train: 0.2479, Accuracy-Train: 0.8966, Loss-Test: 0.4931, Accuracy-Test: 2.2967
Epoch [138/500], Loss-Train: 0.2426, Accuracy-Train: 0.9002, Loss-Test: 0.5416, Accuracy-Test: 2.3024
Epoch [139/500], Loss-Train: 0.2401, Accuracy-Train: 0.9000, Loss-Test: 0.4797, Accuracy-Test: 2.3023
Epoch [140/500], Loss-Train: 0.2412, Accuracy-Train: 0.9006, Loss-Test: 0.4823, Accuracy-Test: 2.3022
Epoch [141/500], Loss-Train: 0.2407, Accuracy-Train: 0.9013, Loss-Test: 0.4806, Accuracy-Test: 2.3037
Epoch [142/500], Loss-Train: 0.2428, Accuracy-Train: 0.8979, Loss-Test: 0.5089, Accuracy-Test: 2.2993
