Open,High,Low,Close,Volume,Adj Close
2.7049999237060547,2.7060000896453857,2.6989998817443848,2.7014999389648438,2.7014999389648438,0.0
2.7009999752044678,2.702500104904175,2.694999933242798,2.696000099182129,2.696000099182129,624255.0
2.697999954223633,2.700000047683716,2.696500062942505,2.697499990463257,2.697499990463257,420755.0
2.697000026702881,2.700000047683716,2.697000026702881,2.700000047683716,2.700000047683716,644317.0
2.700500011444092,2.7019999027252197,2.69950008392334,2.7009999752044678,2.7009999752044678,1063331.0
2.7014999389648438,2.7019999027252197,2.6989998817443848,2.69950008392334,2.69950008392334,725438.0
2.6989998817443848,2.700000047683716,2.6989998817443848,2.700000047683716,2.700000047683716,897569.0
2.69950008392334,2.69950008392334,2.696000099182129,2.696000099182129,2.696000099182129,452346.0
2.697000026702881,2.697000026702881,2.692500114440918,2.694000005722046,2.694000005722046,361936.0
2.694499969482422,2.694499969482422,2.686500072479248,2.687000036239624,2.687000036239624,897104.0
2.687000036239624,2.689500093460083,2.686500072479248,2.688999891281128,2.688999891281128,560233.0
2.687999963760376,2.690500020980835,2.687999963760376,2.688499927520752,2.688499927520752,117564.0
2.687999963760376,2.690999984741211,2.687999963760376,2.690999984741211,2.690999984741211,216535.0
2.690500020980835,2.691999912261963,2.688999891281128,2.690500020980835,2.690500020980835,315391.0
2.690999984741211,2.691999912261963,2.687999963760376,2.688999891281128,2.688999891281128,536653.0
2.688499927520752,2.689500093460083,2.681999921798706,2.682499885559082,2.682499885559082,1221183.0
2.681999921798706,2.683000087738037,2.677500009536743,2.677500009536743,2.677500009536743,753854.0
2.677000045776367,2.677000045776367,2.6710000038146973,2.6730000972747803,2.6730000972747803,1363953.0
2.6740000247955322,2.677999973297119,2.6740000247955322,2.676500082015991,2.676500082015991,539544.0
2.677000045776367,2.677000045776367,2.6740000247955322,2.676500082015991,2.676500082015991,470353.0
2.676500082015991,2.678499937057495,2.6740000247955322,2.678499937057495,2.678499937057495,678419.0
2.677999973297119,2.679500102996826,2.6740000247955322,2.677000045776367,2.677000045776367,591148.0
2.6760001182556152,2.680000066757202,2.674999952316284,2.680000066757202,2.680000066757202,254178.0
2.678999900817871,2.681999921798706,2.678499937057495,2.680999994277954,2.680999994277954,364657.0
2.680999994277954,2.68149995803833,2.677000045776367,2.678499937057495,2.678499937057495,293088.0
2.677999973297119,2.683500051498413,2.676500082015991,2.683500051498413,2.683500051498413,558969.0
2.683000087738037,2.683500051498413,2.680500030517578,2.681999921798706,2.681999921798706,181102.0
2.682499885559082,2.684000015258789,2.680500030517578,2.680500030517578,2.680500030517578,177775.0
2.680999994277954,2.681999921798706,2.680000066757202,2.68149995803833,2.68149995803833,206458.0
2.680999994277954,2.682499885559082,2.678499937057495,2.68149995803833,2.68149995803833,898761.0
2.680999994277954,2.68149995803833,2.679500102996826,2.680999994277954,2.680999994277954,948543.0
2.68149995803833,2.68149995803833,2.677500009536743,2.679500102996826,2.679500102996826,887286.0
2.679500102996826,2.684000015258789,2.678999900817871,2.681999921798706,2.681999921798706,312626.0
2.68149995803833,2.681999921798706,2.677999973297119,2.677999973297119,2.677999973297119,404092.0
2.677500009536743,2.677999973297119,2.6730000972747803,2.6730000972747803,2.6730000972747803,262669.0
2.6730000972747803,2.677000045776367,2.6730000972747803,2.674999952316284,2.674999952316284,128011.0
2.674999952316284,2.677000045776367,2.6730000972747803,2.6730000972747803,2.6730000972747803,651196.0
2.6730000972747803,2.677000045776367,2.6730000972747803,2.67549991607666,2.67549991607666,579124.0
2.674999952316284,2.674999952316284,2.6649999618530273,2.6649999618530273,2.6649999618530273,1188327.0
2.6640000343322754,2.6679999828338623,2.6624999046325684,2.6670000553131104,2.6670000553131104,789964.0
2.6675000190734863,2.6710000038146973,2.6675000190734863,2.6700000762939453,2.6700000762939453,185413.0
2.6705000400543213,2.6710000038146973,2.6684999465942383,2.6684999465942383,2.6684999465942383,217145.0
2.6679999828338623,2.6695001125335693,2.6644999980926514,2.6644999980926514,2.6644999980926514,165889.0
2.6644999980926514,2.6644999980926514,2.6594998836517334,2.6610000133514404,2.6610000133514404,666540.0
2.6610000133514404,2.6624999046325684,2.6594998836517334,2.6600000858306885,2.6600000858306885,214673.0
2.6605000495910645,2.6610000133514404,2.6475000381469727,2.6475000381469727,2.6475000381469727,1534663.0
2.6489999294281006,2.6514999866485596,2.6435000896453857,2.6475000381469727,2.6475000381469727,1978225.0
2.6470000743865967,2.6530001163482666,2.6465001106262207,2.6530001163482666,2.6530001163482666,574426.0
2.6535000801086426,2.6579999923706055,2.6524999141693115,2.6559998989105225,2.6559998989105225,266280.0
2.6554999351501465,2.6570000648498535,2.6540000438690186,2.6540000438690186,2.6540000438690186,138566.0
2.6545000076293945,2.6554999351501465,2.6519999504089355,2.6519999504089355,2.6519999504089355,204941.0
2.6524999141693115,2.6549999713897705,2.6524999141693115,2.6549999713897705,2.6549999713897705,141256.0
2.6554999351501465,2.6584999561309814,2.6540000438690186,2.6549999713897705,2.6549999713897705,508525.0
2.6559998989105225,2.6570000648498535,2.6524999141693115,2.6535000801086426,2.6535000801086426,322850.0
2.6540000438690186,2.6540000438690186,2.6510000228881836,2.6530001163482666,2.6530001163482666,521043.0
2.6519999504089355,2.6519999504089355,2.6480000019073486,2.6480000019073486,2.6480000019073486,650866.0
2.6475000381469727,2.6489999294281006,2.6459999084472656,2.6470000743865967,2.6470000743865967,332348.0
2.6465001106262207,2.6489999294281006,2.6465001106262207,2.6475000381469727,2.6475000381469727,376153.0
