Datetime,Open,High,Low,Close,Adj Close,Volume
2023-12-14 09:30:00-05:00,198.67999267578125,198.74000549316406,198.67999267578125,198.7100067138672,198.7100067138672,3042865
2023-12-14 09:31:00-05:00,199.11000061035156,199.47500610351562,198.58999633789062,199.4499969482422,199.4499969482422,1235195
2023-12-14 09:32:00-05:00,199.44000244140625,199.61500549316406,199.33999633789062,199.52969360351562,199.52969360351562,605627
2023-12-14 09:33:00-05:00,199.52999877929688,199.6199951171875,199.44000244140625,199.5050048828125,199.5050048828125,437284
2023-12-14 09:34:00-05:00,199.5050048828125,199.50999450683594,199.14999389648438,199.2550048828125,199.2550048828125,412881
2023-12-14 09:35:00-05:00,199.25010681152344,199.2899932861328,199.0,199.19500732421875,199.19500732421875,390418
2023-12-14 09:36:00-05:00,199.19900512695312,199.25,199.00999450683594,199.09500122070312,199.09500122070312,295646
2023-12-14 09:37:00-05:00,199.09100341796875,199.4250030517578,199.08999633789062,199.3300018310547,199.3300018310547,288442
2023-12-14 09:38:00-05:00,199.3249969482422,199.42999267578125,199.27499389648438,199.39999389648438,199.39999389648438,291893
2023-12-14 09:39:00-05:00,199.38999938964844,199.4149932861328,199.3000030517578,199.3751983642578,199.3751983642578,337744
2023-12-14 09:40:00-05:00,199.375,199.38999938964844,199.05999755859375,199.06500244140625,199.06500244140625,219353
2023-12-14 09:41:00-05:00,199.05999755859375,199.14999389648438,198.97000122070312,199.1199951171875,199.1199951171875,254619
2023-12-14 09:42:00-05:00,199.12249755859375,199.1699981689453,198.9499969482422,199.0449981689453,199.0449981689453,243180
2023-12-14 09:43:00-05:00,199.0449981689453,199.24000549316406,199.02000427246094,199.2050018310547,199.2050018310547,237267
2023-12-14 09:44:00-05:00,199.19000244140625,199.27999877929688,199.04299926757812,199.16000366210938,199.16000366210938,177021
2023-12-14 09:45:00-05:00,199.16000366210938,199.33839416503906,199.13999938964844,199.16799926757812,199.16799926757812,256394
2023-12-14 09:46:00-05:00,199.1699981689453,199.25999450683594,199.1199951171875,199.1800994873047,199.1800994873047,161979
2023-12-14 09:47:00-05:00,199.19500732421875,199.3300018310547,199.17999267578125,199.2949981689453,199.2949981689453,159960
2023-12-14 09:48:00-05:00,199.2949981689453,199.35000610351562,199.22999572753906,199.3000030517578,199.3000030517578,263885
2023-12-14 09:49:00-05:00,199.30499267578125,199.32000732421875,199.1199951171875,199.1199951171875,199.1199951171875,248083
2023-12-14 09:50:00-05:00,199.125,199.19000244140625,198.8300018310547,198.95680236816406,198.95680236816406,292883
